4000	6000	8000	10000	12000	14000	16000	18000	20000	22000	24000	26000	28000	30000	32000	34000	36000	38000	40000	
2.53333	2	3	4	5	5.6	6	7	8	9.06667	10	10.9333	11.0667	12	13.0333	14.0667	15.5	16	16.9333	
