4000	6000	8000	10000	12000	14000	16000	18000	20000	22000	24000	26000	28000	30000	32000	34000	36000	38000	40000	
1.23333	2	3	4	5	5.33333	6	7	8.03333	9.13333	10	11.4	11.1	12	13	14	16.4	16	16.7667	
